Professor,Scholar ID,Nodes,Edges,Density,Avg Degree,Clustering Coefficient,Degree Centrality,Betweenness Centrality,Closeness Centrality,Overall Score
Nagendra  Kumar,lCP4ZqMAAAAJ,3,2,1.0,0.6821705426356589,0.0,1.0,0.0,0.0,0.4364341085271318
Aniruddha Singh Kushwaha,zu1MSEEAAAAJ,6,5,0.49999999999999983,0.8527131782945737,0.0,1.0,0.0,0.0,0.42054263565891475
Dr.Sanyam Shukla,HMAzliEAAAAJ,8,7,0.375,0.8953488372093024,0.0,1.0,0.0,0.0,0.4165697674418605
Jay Kumar Jain,0YYnNYkAAAAJ,8,7,0.375,0.8953488372093024,0.0,1.0,0.0,0.0,0.4165697674418605
Dr. Aruna Tiwari,92WslkgAAAAJ,10,9,0.30000000000000004,0.9209302325581397,0.0,1.0,0.0,0.0,0.41418604651162794
Dr. Mitul Kumar Ahirwal,fWgOgcIAAAAJ,11,10,0.2727272727272727,0.9302325581395349,0.0,1.0,0.0,0.0,0.41331923890063427
Sidharth Sharma,c0R1WokAAAAJ,12,11,0.24999999999999992,0.937984496124031,0.0,1.0,0.0,0.0,0.41259689922480625
"Prof. Anirban Sengupta, IEEE Distinguished Visitor, IEEE Distinguished Lecturer, FIET, FBCS",4aHf5O8AAAAJ,23,22,0.13043478260869562,0.9787664307381194,0.0,1.0,0.0,0.0,0.40879676440849344
Dr. Surya Prakash,pqP66FLxeBMC,25,24,0.12000000000000001,0.9823255813953489,0.0,1.0,0.0,0.0,0.4084651162790698
Dr. Narendra S Chaudhari,hgwfis4AAAAJ,44,43,0.06818181818181811,1.0,0.0,1.0,0.0,0.0,0.40681818181818186
Dr. Narendra S Chaudhari,hgwfis4AAAAJ,44,43,0.06818181818181811,1.0,0.0,1.0,0.0,0.0,0.40681818181818186
Puneet Gupta,yUB8lNsAAAAJ,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.2
